  Model loaded → /app/models/tradesage_10y.pkl
  Features : 107
  Saved AUC: 0.6699
  Ensemble : ['lgbm', 'catboost']
2026-05-08 03:54:24,808 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AVALON via all methods.
2026-05-08 03:54:28,328 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AVANTEL via all methods.
2026-05-08 03:54:32,806 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AVANTIFEED via all methods.
2026-05-08 03:54:36,326 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AVG via all methods.
2026-05-08 03:54:40,934 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AVL via all methods.
2026-05-08 03:54:44,455 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AVONMORE via all methods.
2026-05-08 03:54:48,999 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AVROIND via all methods.
2026-05-08 03:54:52,518 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AVTNPL via all methods.
2026-05-08 03:54:56,934 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AWFIS via all methods.
2026-05-08 03:55:00,392 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AWHCL via all methods.
2026-05-08 03:55:04,999 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AWL via all methods.
2026-05-08 03:55:08,458 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISBANK via all methods.
2026-05-08 03:55:12,999 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISBNKETF via all methods.
2026-05-08 03:55:13,017 [WARNING] src.angel.angel_data_fetcher: Symbol AXISBPSETF not found in NSE Equities index.
2026-05-08 03:55:16,519 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISCADES via all methods.
2026-05-08 03:55:21,127 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISCETF via all methods.
2026-05-08 03:55:24,584 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISGOLD via all methods.
2026-05-08 03:55:28,166 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISHCETF via all methods.
2026-05-08 03:55:32,648 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISILVER via all methods.
2026-05-08 03:55:36,166 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISNIFTY via all methods.
2026-05-08 03:55:40,714 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISTECETF via all methods.
2026-05-08 03:55:44,231 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXISVALUE via all methods.
2026-05-08 03:55:48,710 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AXSENSEX via all methods.
2026-05-08 03:55:52,231 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AYMSYNTEX via all methods.
2026-05-08 03:55:56,710 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AZAD via all methods.
2026-05-08 03:55:56,725 [WARNING] src.angel.angel_data_fetcher: Symbol BAFNAPH not found in NSE Equities index.
2026-05-08 03:56:00,167 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAGFILMS via all methods.
2026-05-08 03:56:04,647 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAIDFIN via all methods.
2026-05-08 03:56:08,125 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJAJ-AUTO via all methods.
2026-05-08 03:56:12,647 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJAJCON via all methods.
2026-05-08 03:56:16,166 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJAJELEC via all methods.
2026-05-08 03:56:20,646 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJAJFINSV via all methods.
2026-05-08 03:56:24,124 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJAJHCARE via all methods.
2026-05-08 03:56:28,647 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJAJHFL via all methods.
2026-05-08 03:56:32,168 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJAJHIND via all methods.
2026-05-08 03:56:36,648 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJAJHLDNG via all methods.
2026-05-08 03:56:40,166 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJAJINDEF via all methods.
2026-05-08 03:56:44,648 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJEL via all methods.
2026-05-08 03:56:48,295 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAJFINANCE via all methods.
2026-05-08 03:56:52,839 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BALAJEE via all methods.
2026-05-08 03:56:56,358 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BALAJITELE via all methods.
2026-05-08 03:57:00,903 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BALAMINES via all methods.
2026-05-08 03:57:00,917 [WARNING] src.angel.angel_data_fetcher: Symbol BALAXI not found in NSE Equities index.
2026-05-08 03:57:04,359 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BALKRISHNA via all methods.
2026-05-08 03:57:08,839 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BALKRISIND via all methods.
2026-05-08 03:57:12,359 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BALMLAWRIE via all methods.
2026-05-08 03:57:16,968 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BALPHARMA via all methods.
2026-05-08 03:57:20,486 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BALRAMCHIN via all methods.
2026-05-08 03:57:25,030 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BALUFORGE via all methods.
2026-05-08 03:57:28,488 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANARBEADS via all methods.
2026-05-08 03:57:32,966 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANARISUG via all methods.
2026-05-08 03:57:36,488 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANCOINDIA via all methods.
2026-05-08 03:57:40,156 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANDHANBNK via all methods.
2026-05-08 03:57:44,678 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANG via all methods.
2026-05-08 03:57:44,690 [INFO] tradesage.scanner: [300/2525] scanning... (signals: 13, errors: 53)
2026-05-08 03:57:46,407 [WARNING] src.angel.angel_data_fetcher: Symbol BANKA not found in NSE Equities index.
2026-05-08 03:57:48,775 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKADD via all methods.
2026-05-08 03:57:52,166 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKBARODA via all methods.
2026-05-08 03:57:56,714 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKBEES via all methods.
2026-05-08 03:58:00,167 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKBETA via all methods.
2026-05-08 03:58:04,646 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKBETF via all methods.
2026-05-08 03:58:08,124 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKETF via all methods.
2026-05-08 03:58:12,583 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKIETF via all methods.
2026-05-08 03:58:17,065 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKINDIA via all methods.
2026-05-08 03:58:20,583 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKNIFTY1 via all methods.
2026-05-08 03:58:25,063 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANKPSU via all methods.
2026-05-08 03:58:28,582 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANSALWIRE via all methods.
2026-05-08 03:58:33,064 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BANSWRAS via all methods.
2026-05-08 03:58:36,582 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BASF via all methods.
2026-05-08 03:58:41,063 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BASML via all methods.
2026-05-08 03:58:44,519 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BATAINDIA via all methods.
2026-05-08 03:58:49,066 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BAYERCROP via all methods.
2026-05-08 03:58:52,518 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BBETF0432 via all methods.
2026-05-08 03:58:57,063 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BBL via all methods.
2026-05-08 03:59:00,519 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BBNPNBETF via all methods.
2026-05-08 03:59:05,001 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BBNPPGOLD via all methods.
2026-05-08 03:59:08,457 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BBOX via all methods.
2026-05-08 03:59:12,998 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BBTC via all methods.
2026-05-08 03:59:16,390 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BBTCL via all methods.
2026-05-08 03:59:20,874 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BCLIND via all methods.
2026-05-08 03:59:24,390 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BCONCEPTS via all methods.
2026-05-08 03:59:28,999 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BDL via all methods.
2026-05-08 03:59:32,455 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BEARDSELL via all methods.
2026-05-08 03:59:37,000 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BECTORFOOD via all methods.
2026-05-08 03:59:40,519 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BEL via all methods.
2026-05-08 03:59:44,233 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BELRISE via all methods.
2026-05-08 03:59:48,647 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BEML via all methods.
2026-05-08 03:59:52,125 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BEPL via all methods.
2026-05-08 03:59:56,646 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BERGEPAINT via all methods.
2026-05-08 04:00:00,129 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BETA via all methods.
2026-05-08 04:00:04,713 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BFINVEST via all methods.
2026-05-08 04:00:08,230 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BFSI via all methods.
2026-05-08 04:00:12,711 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHAGCHEM via all methods.
2026-05-08 04:00:16,166 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHAGERIA via all methods.
2026-05-08 04:00:16,182 [WARNING] src.angel.angel_data_fetcher: Symbol BHAGYANGR not found in NSE Equities index.
2026-05-08 04:00:20,775 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHANDARI via all methods.
2026-05-08 04:00:24,423 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHARATFORG via all methods.
2026-05-08 04:00:28,968 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHARATGEAR via all methods.
2026-05-08 04:00:32,551 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHARATRAS via all methods.
2026-05-08 04:00:37,032 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHARATSE via all methods.
2026-05-08 04:00:40,552 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHARATWIRE via all methods.
2026-05-08 04:00:45,030 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHARTIARTL via all methods.
2026-05-08 04:00:48,615 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHARTIHEXA via all methods.
2026-05-08 04:00:52,135 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BHEL via all methods.
2026-05-08 04:00:56,679 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BIGBLOC via all methods.
2026-05-08 04:01:00,135 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BIKAJI via all methods.
2026-05-08 04:01:04,807 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BIL via all methods.
2026-05-08 04:01:08,392 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BIOCON via all methods.
2026-05-08 04:01:12,999 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BIOFILCHEM via all methods.
2026-05-08 04:01:13,013 [WARNING] src.angel.angel_data_fetcher: Symbol BIRLACABLE not found in NSE Equities index.
2026-05-08 04:01:16,518 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BIRLACORPN via all methods.
2026-05-08 04:01:20,999 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BIRLAMONEY via all methods.
2026-05-08 04:01:24,454 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BIRLANU via all methods.
2026-05-08 04:01:28,936 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLACKBUCK via all methods.
2026-05-08 04:01:32,393 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLAL via all methods.
2026-05-08 04:01:36,934 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLISSGVS via all methods.
2026-05-08 04:01:40,582 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLKASHYAP via all methods.
2026-05-08 04:01:44,999 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLS via all methods.
2026-05-08 04:01:48,583 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLSE via all methods.
2026-05-08 04:01:48,601 [WARNING] src.angel.angel_data_fetcher: Symbol BLUECOAST not found in NSE Equities index.
2026-05-08 04:01:52,126 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLUEDART via all methods.
2026-05-08 04:01:56,649 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLUEJET via all methods.
2026-05-08 04:02:00,127 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLUESTARCO via all methods.
2026-05-08 04:02:04,326 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BLUSPRING via all methods.
2026-05-08 04:02:08,487 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BODALCHEM via all methods.
2026-05-08 04:02:12,967 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BOMDYEING via all methods.
2026-05-08 04:02:16,617 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BOROLTD via all methods.
2026-05-08 04:02:20,137 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BORORENEW via all methods.
2026-05-08 04:02:24,742 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BOROSCI via all methods.
2026-05-08 04:02:28,198 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BOSCH-HCIL via all methods.
2026-05-08 04:02:32,614 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BOSCHLTD via all methods.
2026-05-08 04:02:36,136 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BPCL via all methods.
2026-05-08 04:02:40,617 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BPL via all methods.
2026-05-08 04:02:44,095 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BRIGADE via all methods.
2026-05-08 04:02:48,678 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BRITANNIA via all methods.
2026-05-08 04:02:52,090 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BRNL via all methods.
2026-05-08 04:02:52,103 [WARNING] src.angel.angel_data_fetcher: Symbol BROOKS not found in NSE Equities index.
2026-05-08 04:02:56,550 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BSE via all methods.
2026-05-08 04:03:00,095 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BSE500IETF via all methods.
2026-05-08 04:03:04,679 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BSHSL via all methods.
2026-05-08 04:03:08,138 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BSL via all methods.
2026-05-08 04:03:12,614 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BSLGOLDETF via all methods.
2026-05-08 04:03:16,093 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BSLNIFTY via all methods.
2026-05-08 04:03:20,615 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BSLSENETFG via all methods.
2026-05-08 04:03:24,095 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BSOFT via all methods.
2026-05-08 04:03:28,614 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BTML via all methods.
2026-05-08 04:03:28,750 [INFO] tradesage.scanner: [400/2525] scanning... (signals: 23, errors: 67)
2026-05-08 04:03:32,200 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BUTTERFLY via all methods.
2026-05-08 04:03:36,806 [WARNING] src.core.screener_scraper: Failed to fetch HTML for BVCL via all methods.
2026-05-08 04:03:36,821 [WARNING] src.angel.angel_data_fetcher: Symbol BYKE not found in NSE Equities index.
2026-05-08 04:03:40,393 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CALSOFT via all methods.
2026-05-08 04:03:44,872 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CAMLINFINE via all methods.
2026-05-08 04:03:48,456 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CAMPUS via all methods.
2026-05-08 04:03:53,001 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CAMS via all methods.
2026-05-08 04:03:56,647 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CANBK via all methods.
2026-05-08 04:04:00,295 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CANFINHOME via all methods.
2026-05-08 04:04:04,969 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CANTABIL via all methods.
2026-05-08 04:04:08,870 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CAPACITE via all methods.
2026-05-08 04:04:12,582 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CAPITALSFB via all methods.
2026-05-08 04:04:16,167 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CAPLIPOINT via all methods.
2026-05-08 04:04:20,710 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CARBORUNIV via all methods.
2026-05-08 04:04:24,168 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CARERATING via all methods.
2026-05-08 04:04:28,647 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CARRARO via all methods.
2026-05-08 04:04:32,125 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CARTRADE via all methods.
2026-05-08 04:04:36,583 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CARYSIL via all methods.
2026-05-08 04:04:41,127 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CASHIETF via all methods.
2026-05-08 04:04:44,649 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CASTROLIND via all methods.
2026-05-08 04:04:48,125 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CCAVENUE via all methods.
2026-05-08 04:04:52,711 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CCCL via all methods.
2026-05-08 04:04:56,167 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CCHHL via all methods.
2026-05-08 04:05:00,647 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CCL via all methods.
2026-05-08 04:05:04,167 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CDSL via all methods.
2026-05-08 04:05:08,710 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CEATLTD via all methods.
2026-05-08 04:05:12,168 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CEIGALL via all methods.
2026-05-08 04:05:16,775 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CELEBRITY via all methods.
2026-05-08 04:05:20,294 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CELLO via all methods.
2026-05-08 04:05:24,841 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CEMPRO via all methods.
2026-05-08 04:05:28,487 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CENTENKA via all methods.
2026-05-08 04:05:33,032 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CENTEXT via all methods.
2026-05-08 04:05:36,553 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CENTRALBK via all methods.
2026-05-08 04:05:41,031 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CENTRUM via all methods.
2026-05-08 04:05:44,486 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CENTUM via all methods.
2026-05-08 04:05:49,030 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CENTURYPLY via all methods.
2026-05-08 04:05:52,553 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CERA via all methods.
2026-05-08 04:05:56,090 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CESC via all methods.
2026-05-08 04:06:00,679 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CEWATER via all methods.
2026-05-08 04:06:04,200 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CGCL via all methods.
2026-05-08 04:06:08,743 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CGPOWER via all methods.
2026-05-08 04:06:12,327 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHALET via all methods.
2026-05-08 04:06:16,806 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHAMBLFERT via all methods.
2026-05-08 04:06:20,326 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHEMBOND via all methods.
2026-05-08 04:06:24,934 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHEMCON via all methods.
2026-05-08 04:06:28,457 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHEMFAB via all methods.
2026-05-08 04:06:32,167 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHEMPLASTS via all methods.
2026-05-08 04:06:36,647 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHENNPETRO via all methods.
2026-05-08 04:06:40,126 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHEVIOT via all methods.
2026-05-08 04:06:44,264 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHOICEIN via all methods.
2026-05-08 04:06:48,807 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHOLAFIN via all methods.
2026-05-08 04:06:52,391 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CHOLAHLDNG via all methods.
2026-05-08 04:06:56,935 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CIEINDIA via all methods.
2026-05-08 04:07:00,392 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CIFL via all methods.
2026-05-08 04:07:04,870 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CIGNITITEC via all methods.
2026-05-08 04:07:08,390 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CINELINE via all methods.
2026-05-08 04:07:12,871 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CINEVISTA via all methods.
2026-05-08 04:07:16,391 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CIPLA via all methods.
2026-05-08 04:07:20,870 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CLEAN via all methods.
2026-05-08 04:07:24,137 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CLSEL via all methods.
2026-05-08 04:07:28,871 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CMSINFO via all methods.
2026-05-08 04:07:32,390 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CNL via all methods.
2026-05-08 04:07:36,875 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COALINDIA via all methods.
2026-05-08 04:07:40,518 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COASTCORP via all methods.
2026-05-08 04:07:44,999 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COCHINSHIP via all methods.
2026-05-08 04:07:48,649 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COFFEEDAY via all methods.
2026-05-08 04:07:52,124 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COFORGE via all methods.
2026-05-08 04:07:56,711 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COHANCE via all methods.
2026-05-08 04:08:00,295 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COLPAL via all methods.
2026-05-08 04:08:04,903 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COMMOIETF via all methods.
2026-05-08 04:08:08,422 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COMPUSOFT via all methods.
2026-05-08 04:08:12,905 [WARNING] src.core.screener_scraper: Failed to fetch HTML for COMSYN via all methods.
2026-05-08 04:08:16,359 [WARNING] src.core.screener_scraper: Failed to fetch HTML for CONCOR via all methods.
